,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalPrice,Year
141,C536379,D,Discount,-1,2010-12-01 09:41:00,27.5,14527.0,United Kingdom,-27.5,2010
154,C536383,35004C,SET OF 3 COLOURED  FLYING DUCKS,-1,2010-12-01 09:49:00,4.65,15311.0,United Kingdom,-4.65,2010
235,C536391,22556,PLASTERS IN TIN CIRCUS PARADE ,-12,2010-12-01 10:24:00,1.65,17548.0,United Kingdom,-19.799999999999997,2010
236,C536391,21984,PACK OF 12 PINK PAISLEY TISSUES ,-24,2010-12-01 10:24:00,0.29,17548.0,United Kingdom,-6.959999999999999,2010
237,C536391,21983,PACK OF 12 BLUE PAISLEY TISSUES ,-24,2010-12-01 10:24:00,0.29,17548.0,United Kingdom,-6.959999999999999,2010
238,C536391,21980,PACK OF 12 RED RETROSPOT TISSUES ,-24,2010-12-01 10:24:00,0.29,17548.0,United Kingdom,-6.959999999999999,2010
239,C536391,21484,CHICK GREY HOT WATER BOTTLE,-12,2010-12-01 10:24:00,3.45,17548.0,United Kingdom,-41.400000000000006,2010
240,C536391,22557,PLASTERS IN TIN VINTAGE PAISLEY ,-12,2010-12-01 10:24:00,1.65,17548.0,United Kingdom,-19.799999999999997,2010
241,C536391,22553,PLASTERS IN TIN SKULLS,-24,2010-12-01 10:24:00,1.65,17548.0,United Kingdom,-39.599999999999994,2010
939,C536506,22960,JAM MAKING SET WITH JARS,-6,2010-12-01 12:38:00,4.25,17897.0,United Kingdom,-25.5,2010
1441,C536543,22632,HAND WARMER RED RETROSPOT,-1,2010-12-01 14:30:00,2.1,17841.0,United Kingdom,-2.1,2010
1442,C536543,22355,CHARLOTTE BAG SUKI DESIGN,-2,2010-12-01 14:30:00,0.85,17841.0,United Kingdom,-1.7,2010
1973,C536548,22244,3 HOOK HANGER MAGIC GARDEN,-4,2010-12-01 14:33:00,1.95,12472.0,Germany,-7.8,2010
1974,C536548,22242,5 HOOK HANGER MAGIC TOADSTOOL,-5,2010-12-01 14:33:00,1.65,12472.0,Germany,-8.25,2010
1975,C536548,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,-1,2010-12-01 14:33:00,2.95,12472.0,Germany,-2.95,2010
